Feature_ID,Pass_N,Fail_N,Pass_Mean,Fail_Mean,F_stat,p_value,Eta_Squared,BH_Adjusted_p,BH_Significant,Bonferroni_Adjusted_p,Bonferroni_Significant
180,1462,104,19.082701778385772,18.03701923076923,9.734678131007916,0.0018412692736934377,0.006185717495003032,0.03733226170518451,True,1.0,False
159,1462,103,862.2756497948017,1172.3106796116506,9.623537909598872,0.001955371091952742,0.006119416171521197,0.03733226170518451,True,1.0,False
122,1454,104,3.917335625859698,3.6335096153846154,9.617877265885452,0.0019615256150181688,0.006143183087996958,0.03733226170518451,True,1.0,False
452,1462,104,5.365711764705882,5.081178846153847,9.352962708626107,0.002264028528419159,0.005944605521016923,0.04156754702444105,True,1.0,False
79,1439,104,0.002979082696316886,0.010089423076923076,9.254849604121361,0.002388399844273371,0.005969889148538843,0.04156754702444105,True,1.0,False
130,1454,104,0.7432802613480054,0.7686903846153847,9.24914759713794,0.0023954179641203317,0.0059090577441532335,0.04156754702444105,True,1.0,False
64,1456,104,20.440290521978024,21.967568269230767,9.186793493971662,0.002477851245888935,0.005861964592931563,0.04176949243069919,True,1.0,False
127,1454,104,0.6511958046767538,0.610475,8.821552096616951,0.003022535173916545,0.005637417304738318,0.04953599312807671,True,1.0,False
22,1462,103,2705.15817373461,2617.339805825243,8.539231629849724,0.00352566477575224,0.005433673851713905,0.05622005993767086,False,1.0,False
123,1454,104,15.827565337001374,15.858942307692306,8.18228040416727,0.0042866391681765335,0.005231027423512929,0.06655571340063565,False,1.0,False
437,1462,103,3.9868538987688096,4.441639805825242,7.6984215560842655,0.005592692094110312,0.00490127286717298,0.08460739321859191,False,1.0,False
14,1460,104,9.056840547945205,8.282810576923076,7.467910981215697,0.006351642707400472,0.004758243815604259,0.09368672993415696,False,1.0,False
114,1463,104,9.200273410799727e-05,0.0005519230769230768,7.411519135691543,0.006552685395948882,0.004713472933450301,0.09429474106365464,False,1.0,False
133,1455,104,1003.9246225429551,1005.7005471153848,7.190703274506639,0.00740564809084682,0.004597075829345022,0.10328726861758585,False,1.0,False
